time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.217,0.221,0.21919047619047619,0.219,0.0010519391444940257,0.185,0.187,0.18649999999999997,0.187,0.0007416198487095669,6.292,6.316,6.301550000000001,6.3,0.006272758563821837,0.28800000000000003,0.295,0.2912,0.291,0.0018055470085267757,2.129,2.1470000000000002,2.1373500000000005,2.1365,0.004618170633486828,0.185,0.188,0.1867,0.187,0.0010049875621120899,11.152000000000001,11.222,11.17025,11.17,0.013645054048994968,0.5670000000000001,0.5690000000000001,0.5679000000000001,0.5680000000000001,0.00043588989435406776,5.524,5.5840000000000005,5.53315,5.53,0.012030274311087078,0.20600000000000002,0.211,0.20775000000000005,0.20800000000000002,0.0009420721840708345,32,32,4096,11008,32768,True,4096,1
0.218,0.221,0.21919047619047619,0.219,0.0010962728031639378,0.186,0.187,0.18635,0.186,0.00047696960070847325,6.293,6.306,6.29965,6.3,0.00401590587539101,0.289,0.295,0.29209999999999997,0.292,0.0016401219466856739,2.1310000000000002,2.142,2.1357500000000007,2.1355000000000004,0.0028788018340969303,0.185,0.188,0.18675,0.187,0.0008291561975888506,11.145,11.187,11.1677,11.171,0.009633794683300924,0.5680000000000001,0.5680000000000001,0.568,0.5680000000000001,1.1102230246251565e-16,5.524,5.54,5.531499999999999,5.531,0.0043069710934716164,0.20600000000000002,0.209,0.20735,0.20700000000000002,0.0008529361054615944,32,32,4096,11008,32768,True,4096,1
0.217,0.22,0.21857142857142856,0.218,0.0009035079029052521,0.182,0.185,0.18359999999999999,0.184,0.0008602325267042635,6.289,6.322,6.2989500000000005,6.298500000000001,0.006996248994997265,0.28800000000000003,0.293,0.2895,0.289,0.0014999999999999846,2.137,2.153,2.14595,2.1470000000000002,0.003787809393303729,0.183,0.184,0.18365000000000004,0.184,0.00047696960070847325,11.143,11.188,11.168200000000002,11.168,0.008698275691193047,0.5630000000000001,0.5640000000000001,0.5632500000000001,0.5630000000000001,0.00043301270189221973,5.517,5.541,5.531000000000001,5.531,0.005504543577809144,0.20500000000000002,0.20700000000000002,0.20525000000000002,0.20500000000000002,0.0005361902647381809,32,32,4096,11008,32768,True,4064,1
0.214,0.218,0.21619047619047618,0.216,0.0009571310115353236,0.182,0.184,0.18319999999999997,0.183,0.0005099019513592789,6.292,6.309,6.2997,6.2985,0.005254521862167853,0.28400000000000003,0.29,0.28670000000000007,0.28700000000000003,0.001417744687875773,2.132,2.148,2.1404000000000005,2.14,0.003706750598570146,0.182,0.184,0.18309999999999998,0.183,0.0005385164807134509,11.149000000000001,11.174,11.162700000000001,11.163499999999999,0.006458327956986942,0.559,0.56,0.5590999999999999,0.559,0.00030000000000000024,5.516,5.53,5.523750000000001,5.524,0.003505353049266183,0.202,0.20600000000000002,0.20420000000000002,0.20400000000000001,0.0009797958971132722,32,32,4096,11008,32768,True,4032,1
0.212,0.217,0.21542857142857144,0.216,0.0010942024088643875,0.179,0.181,0.18045,0.181,0.0006689544080129832,6.289,6.306,6.294550000000001,6.2935,0.0038272052466519543,0.28200000000000003,0.28600000000000003,0.28395000000000004,0.28400000000000003,0.0010712142642814286,2.039,2.044,2.0416,2.0420000000000003,0.0012409673645991243,0.18,0.181,0.18070000000000003,0.181,0.0004582575694955844,11.145,11.172,11.157150000000001,11.156500000000001,0.006872226713373337,0.554,0.555,0.55455,0.555,0.0004974937185533104,5.484,5.559,5.5154000000000005,5.513999999999999,0.019296113598338934,0.195,0.198,0.19615000000000005,0.196,0.0007921489758877438,32,32,4096,11008,32768,True,4000,1
0.212,0.216,0.2139047619047619,0.214,0.0010647942749999007,0.179,0.181,0.17969999999999997,0.18,0.0007141428428542856,6.125,6.141,6.13155,6.1305,0.003598263470064405,0.278,0.28600000000000003,0.2811,0.281,0.0016093476939431095,1.968,1.971,1.9692500000000002,1.969,0.0010428326807307316,0.179,0.181,0.17984999999999998,0.18,0.0006538348415311016,10.822000000000001,10.846,10.83325,10.8325,0.006089950738716936,0.55,0.551,0.5505000000000001,0.5505,0.0005000000000000004,5.298,5.353,5.321549999999999,5.3185,0.015512817281203312,0.197,0.2,0.1982,0.198,0.001029563014098701,32,32,4096,11008,32768,True,3968,1
0.209,0.213,0.21123809523809522,0.211,0.0009712418121129123,0.178,0.18,0.17934999999999998,0.179,0.0006538348415311016,6.1240000000000006,6.136,6.12955,6.13,0.003338787204959349,0.276,0.28300000000000003,0.279,0.279,0.001897366596101029,1.967,1.97,1.96855,1.9685000000000001,0.0007399324293474531,0.178,0.18,0.17950000000000002,0.18,0.0007416198487095669,10.824,10.858,10.8313,10.83,0.00701498396291827,0.545,0.546,0.54585,0.546,0.0003570714214271428,5.29,5.34,5.320600000000001,5.3225,0.01234665946724045,0.195,0.198,0.19570000000000004,0.196,0.0007810249675906662,32,32,4096,11008,32768,True,3936,1
0.20800000000000002,0.213,0.2105238095238095,0.21,0.0011388819755334646,0.176,0.177,0.17665000000000003,0.177,0.00047696960070847325,5.977,6.003,5.988950000000001,5.9885,0.006200604809210122,0.276,0.28,0.27785,0.278,0.0013883443376914834,2.12,2.125,2.1224,2.122,0.001067707825203188,0.176,0.178,0.17685,0.177,0.00047696960070847325,10.667,10.687,10.67475,10.6745,0.004784088209889022,0.538,0.539,0.5388999999999999,0.539,0.0003000000000000003,5.626,5.628,5.6267499999999995,5.627,0.0006982120021882986,0.192,0.195,0.19300000000000003,0.193,0.0008366600265340763,32,32,4096,11008,32768,True,3904,1
0.20700000000000002,0.211,0.20861904761904768,0.20800000000000002,0.0010900498230723317,0.17500000000000002,0.177,0.17610000000000003,0.176,0.0006999999999999919,5.981,6.01,5.991899999999999,5.993,0.006579513659838359,0.273,0.278,0.2755,0.2755,0.0014662878298615193,2.121,2.125,2.12235,2.122,0.0009096702699330882,0.17500000000000002,0.177,0.17589999999999997,0.176,0.0008306623862917962,10.665000000000001,10.682,10.6723,10.671,0.004723346271447731,0.534,0.535,0.5346500000000001,0.535,0.00047696960070847325,5.626,5.628,5.62665,5.627,0.0005722761571127674,0.191,0.193,0.19180000000000003,0.192,0.0006000000000000005,32,32,4096,11008,32768,True,3872,1
0.20500000000000002,0.209,0.20714285714285716,0.20700000000000002,0.0011248582677159697,0.17300000000000001,0.17400000000000002,0.17370000000000002,0.17400000000000002,0.0004582575694955844,5.68,5.692,5.68565,5.686,0.004065402809070733,0.273,0.278,0.27515,0.275,0.0011521718621802922,1.8980000000000001,1.901,1.8994000000000004,1.899,0.0008602325267042635,0.17200000000000001,0.17400000000000002,0.17285,0.17300000000000001,0.0006538348415311016,10.349,10.366,10.35805,10.3595,0.00477990585681342,0.529,0.531,0.52995,0.53,0.0004974937185533104,5.014,5.017,5.0154499999999995,5.015,0.0006689544080131098,0.192,0.195,0.19375,0.194,0.0008874119674649433,32,32,4096,11008,32768,True,3840,1
0.203,0.20800000000000002,0.2054761904761905,0.20500000000000002,0.0011799534946060838,0.17200000000000001,0.17400000000000002,0.17305000000000004,0.17300000000000001,0.0006689544080129832,5.675,5.704,5.68905,5.688,0.007392394740542532,0.271,0.277,0.27305,0.273,0.00132193040664023,1.897,1.9000000000000001,1.8983000000000003,1.8980000000000001,0.0008426149773176339,0.171,0.17300000000000001,0.1723,0.17200000000000001,0.0007141428428542857,10.347,10.394,10.359200000000001,10.358,0.00930376267969032,0.525,0.526,0.5252000000000001,0.525,0.00040000000000000034,5.013,5.016,5.0145,5.014,0.0007416198487094248,0.19,0.194,0.19195,0.192,0.0008046738469715546,32,32,4096,11008,32768,True,3808,1
0.202,0.20600000000000002,0.20390476190476195,0.20400000000000001,0.0009209085526577966,0.171,0.17300000000000001,0.17220000000000002,0.17200000000000001,0.0006782329983125276,5.678,5.7,5.685600000000001,5.6850000000000005,0.00563382640840136,0.27,0.273,0.2713499999999999,0.2715,0.0009630680142129119,1.901,1.9040000000000001,1.9028499999999997,1.903,0.0007262919523166986,0.171,0.17300000000000001,0.1722,0.17200000000000001,0.0008124038404635967,10.351,10.373,10.35905,10.357500000000002,0.005792020372892016,0.52,0.521,0.5205000000000001,0.5205,0.0005000000000000004,5.029,5.033,5.03095,5.031,0.001203120941551642,0.189,0.193,0.19095,0.191,0.0008645808232895299,32,32,4096,11008,32768,True,3776,1
0.201,0.203,0.2023809523809524,0.203,0.0007221786137191958,0.168,0.17,0.16945000000000002,0.17,0.0006689544080129832,5.6770000000000005,5.698,5.6853,5.6845,0.006025777958073126,0.267,0.271,0.2687500000000001,0.269,0.0013738631664034098,1.9000000000000001,1.903,1.9016000000000002,1.9020000000000001,0.0008602325267042634,0.169,0.17,0.16970000000000002,0.17,0.00045825756949558437,10.348,10.384,10.36055,10.3595,0.008743426101935011,0.515,0.517,0.51595,0.516,0.00038405728739343076,5.03,5.033,5.0312,5.031,0.0008124038404636049,0.188,0.191,0.18960000000000002,0.189,0.001019803902718558,32,32,4096,11008,32768,True,3744,1
